000300100QA71D	000300100QA71D
11007A00900126	11007A00900047
11007A00900127	11007A00900047
11007A00900128	11007A00900047
11007A00900129	11007A00900047
11007A00900130	11007A00900047
11007A00900132	11007A00900047
11007A00900133	11007A00900047
11007A00900134	11007A00900047
11007A00900138	11007A00900094
11007A00900139	11007A00900094
11007A01000003	11007A01000003
11007A01000004	11007A01000003
11007A01000005	11007A01000003
11007A01000007	11007A01000003
11007A01000013	11007A01000013
11007A01000014	11007A01000013
11007A01000015	11007A01000013
11007A01000026	11007A01000026
11007A01000031	11007A01000003
11007A01000034	11007A01000003
11007A01000036	11007A01000003
11007A01000037	11007A01000003
11007A01000038	11007A01000003
11007A01000051	11007A01000051
11007A01000052	11007A01000051
11007A01000053	11007A01000051
11007A01000054	11007A01000051
11007A01000055	11007A01000051
11007A01000056	11007A01000003
11007A01000059	11007A01000003
11007A01000066	11007A01000051
11007A01000068	11007A01000051
11007A01000070	11007A01000003
11007A01000071	11007A01000003
11007A01000073	11007A01000003
11007A01000074	11007A01000003
11007A01000075	11007A01000003
11007A01000077	11007A01000003
11007A01000078	11007A01000003
11007A01000079	11007A01000003
11007A01000080	11007A01000003
11007A01000088	11007A01000003
11007A01000089	11007A01000003
11007A01000090	11007A01000090
11007A01000091	11007A01000090
11007A01000092	11007A01000090
11007A01000093	11007A01000090
11007A01000094	11007A01000090
11007A01000102	11007A01000003
11007A01000105	11007A01000003
11007A01000108	11007A01000003
11007A01000110	11007A01000003
11007A01000115	11007A01000003
11007A01000116	11007A01000003
11007A01000117	11007A01000003
11007A01000119	11007A01000003
11007A01000121	11007A01000003
11007A01000122	11007A01000003
11007A01000123	11007A01000003
11007A01000124	11007A01000003
11007A01000125	11007A01000003
11007A01000128	11007A01000003
11007A01000129	11007A01000003
11007A01000133	11007A01000003
11007A01000134	11007A01000003
11007A01000138	11007A01000003
11007A01000141	11007A01000003
11007A01000142	11007A01000003
11007A01000145	11007A01000003
11007A01000146	11007A01000003
11007A01000150	11007A01000051
11007A01000151	11007A01000003
11007A01000155	11007A01000003
11007A01000156	11007A01000051
11007A01000157	11007A01000003
11007A01000158	11007A01000013
11007A01000160	11007A01000090
11007A01000161	11007A01000003
11007A01000162	11007A01000003
11007A01000163	11007A01000003
11007A01000164	11007A01000003
11007A01000166	11007A01000003
11007A01000167	11007A01000003
11007A01000168	11007A01000003
11007A01000169	11007A01000003
11007A01000171	11007A01000003
11007A01000172	11007A01000003
11007A01000174	11007A01000051
11007A01000178	11007A01000051
11007A01000179	11007A01000003
11007A01100008	11007A01100008
11007A01100009	11007A01100008
11007A01100011	11007A01100008
11007A01100016	11007A01100008
11007A01100017	11007A01100008
11007A01100018	11007A01100008
11007A01100019	11007A01100008
11007A01100020	11007A01100020
11007A01100021	11007A01100020
11007A01100022	11007A01100020
11007A01100023	11007A01100020
11007A01100040	000300100QA71D
11007A01100041	000300100QA71D
11007A01100042	000300100QA71D
11007A01100043	000300100QA71D
11007A01100044	000300100QA71D
11007A01100045	000300100QA71D
11007A01100051	000300100QA71D
11007A01100052	000300100QA71D
11007A01100054	11007A01100008
11007A01400001	11007A01400001
11007A01400002	11007A01400001
11007A01400007	11007A01400007
11007A01400008	11007A01400007
11007A01400009	11007A01400007
11007A01400010	11007A01400007
11007A01400013	11007A01400007
11007A01400015	11007A01400007
11007A01400021	11007A01400001
11007A01400022	11007A01400001
11007A01400023	11007A01400007
11007A01500001	11007A01500001
11007A01500003	11007A01500001
11007A01500005	11007A01500005
11007A01500011	11007A01500011
11007A01500013	11007A01500011
11007A01500014	11007A01500011
11007A01500015	11007A01500011
11007A01500016	11007A01500011
11007A01500019	11007A01500011
11007A01500025	11007A01500025
11007A01500026	11007A01500026
11007A01500027	11007A01500027
11007A01500028	11007A01500028
11007A01500030	11007A01500025
11007A01500034	11007A01500011
11007A01500035	11007A01500011
11007A01500036	11007A01500011
11007A01500037	11007A01500011
11007A01500038	11007A01500028
11007A01500039	11007A01500027
11007A01600003	11007A01600003
11007A01600004	11007A01600003
11007A01600005	11007A01600005
11007A01600011	11007A01600011
11007A01600013	11007A01600003
11007A01600018	11007A01600018
11007A01600022	11007A01600022
11007A01600025	11007A01600022
0087701TF3008N	0087701TF3008N
0186303TF3008N	0186303TF3008N
0186306TF3008N	0186303TF3008N
0186311TF3008N	0186303TF3008N
0186312TF3008N	0186303TF3008N
0186601TF3008N	0186601TF3008N
0186602TF3008N	0186601TF3008N
0186603TF3008N	0186601TF3008N
0186702TF3008N	0186702TF3008N
0186703TF3008N	0186702TF3008N
0186704TF3008N	0186702TF3008N
0385101TF3008N	0385101TF3008N
3531401TF4033S	3531403TF4033S
3531402TF4033S	3531403TF4033S
3531403TF4033S	3531403TF4033S
3531404TF4033S	3531403TF4033S
3531405TF4033S	3531403TF4033S
3531406TF4033S	3531403TF4033S
3531407TF4033S	3531403TF4033S
3531408TF4033S	3531403TF4033S
3531409TF4033S	3531403TF4033S
3531411TF4033S	3531403TF4033S
3531412TF4033S	3531403TF4033S
