UR JARDIN DEL ATLANTICO (PP) (PORIS DE ABONA)	
UR LAS ARENAS (PP LAS ARENA) (SAN MIGUEL TAJA)	
UR LISTADAS LAS (PORIS DE ABONA)	
UR PINO 1 (EL RIO) (RIO EL)	
UR PINO 2 (EL RIO) (RIO EL)	
UR PINO 3 (EL RIO) (RIO EL)	
UR PINO 4 (EL RIO) (RIO EL)	
UR PINO 5 (EL RIO) (RIO EL)	
UR PINO 7 (EL RIO) (RIO EL)	
UR PINO 8 (EL RIO) (RIO EL)	
UR PLAN PARCIAL S.A.U.-R.9 (PORIS DE ABONA)	
UR PP IND ERAS ALTAS (ICOR)	
UR PP PORIS ABONA UA-2 (PORIS DE ABONA)	
UR PUNTA DE ABONA (PUNTA DE) (PORIS DE ABONA)	
UR RANCHO DEL SOL (VILLA DE ARICO)	
UR TAJAO (PP TAJAO) (SAN MIGUEL TAJA)	
UR VERA LA (PORIS DE ABONA)	Calle la Vera
CL VISTA BALO (ICOR)	Vista el Balo
DS DISEMINADO (RESTO)	
